"","hour_of_obs","fluxL_umolm2sec_LGR","fluxL_umolm2sec_fluxbot","fluxQ_umolm2sec_LGR","fluxQ_umolm2sec_fluxbot"
"1",2023-10-11 13:00:00,2.94226642386562,3.28437679031189,2.96657062503882,3.4482972427292
"2",2023-10-11 14:00:00,2.23972628083677,NA,2.52083040892665,NA
"3",2023-10-11 15:00:00,2.2331083848711,NA,2.27137071296245,NA
"4",2023-10-11 16:00:00,1.99711592558637,2.09477523226424,2.13834764329516,1.94502067541081
"5",2023-10-11 17:00:00,1.88016136781287,2.04248670177132,2.07026221155561,1.955236439582
"6",2023-10-11 18:00:00,1.82709327726441,2.02349899974656,2.15049284304276,2.17822976871211
"7",2023-10-11 19:00:00,1.74172776106573,1.98080118418167,2.0224943141432,2.40395629086281
"8",2023-10-11 20:00:00,-0.338458977221324,NA,7.52588555687492,NA
"9",2023-10-11 21:00:00,0.869576674286349,1.22973274331433,-1.26640630561984,-0.934533389675231
"10",2023-10-11 22:00:00,1.65114151624328,1.71954905822118,1.95187811212141,1.92311888267696
"11",2023-10-11 23:00:00,1.63103692586614,1.65171867305865,1.80824922391426,1.63035667918457
"12",2023-10-12,1.52896462806137,1.57921417520028,1.74288576507479,1.79525064869495
"13",2023-10-12 01:00:00,1.52512802361195,1.52030273642034,1.718050236282,1.64656045271474
"14",2023-10-12 02:00:00,1.52679646611131,NA,1.80066713783277,NA
"15",2023-10-12 03:00:00,1.42177148249392,1.43597478122695,1.7014429538797,1.7701499877684
"16",2023-10-12 04:00:00,1.44662910461906,1.40025877693512,1.1527540585558,0.901907740267074
"17",2023-10-12 05:00:00,1.27412211650936,1.39533663703165,1.51932246398966,1.48394445968607
"18",2023-10-12 06:00:00,1.25131380116451,1.32867110083544,1.40249784452147,1.60720279048339
"19",2023-10-12 07:00:00,1.31395736272201,1.35804589116835,1.55458100452009,1.66825644913017
"20",2023-10-12 08:00:00,1.26865056278829,1.31744592928771,1.44641301554563,1.51452045326945
"21",2023-10-12 09:00:00,1.46191780799783,1.51207033144473,1.65352481376938,1.58519375318693
"22",2023-10-12 10:00:00,1.31110248521998,1.48394733420016,1.64428919190224,1.62764358743268
"23",2023-10-12 11:00:00,0.988953897335489,1.18410784915666,1.10007696796981,1.68799818112508
"24",2023-10-12 12:00:00,1.33948318080704,NA,1.45924179756775,NA
"25",2023-10-12 13:00:00,1.35633171243974,1.43966959098696,1.41517064100263,1.45703501399341
"26",2023-10-12 14:00:00,1.32815491036022,1.41656007536212,1.60582382100164,1.4423531310031
"27",2023-10-12 15:00:00,1.32061216615499,1.4159135464025,-2.36153099568405,-1.82768641642118
"28",2023-10-12 16:00:00,1.36309141548579,1.47827197126047,1.54382640111117,1.56422716711516
"29",2023-10-12 17:00:00,2.72765278579881,NA,8.04798457925421,NA
"30",2023-10-12 18:00:00,2.44600402930516,NA,6.11172550639913,NA
"31",2023-10-12 19:00:00,2.61755888051608,NA,8.61929929224357,NA
"32",2023-10-12 20:00:00,1.32716116673812,1.50789777140085,1.53542290883559,1.5945111046298
"33",2023-10-12 21:00:00,1.25155641256237,1.36456911876177,1.42357988693131,1.47831597917162
"34",2023-10-12 22:00:00,1.20401092798063,1.36292301509509,1.85764643585005,1.64113402117179
"35",2023-10-12 23:00:00,2.00052834414383,1.97094830297214,-0.169291533030481,0.42222523788395
"36",2023-10-13,1.21424560431967,1.30271635117037,1.41461294040816,1.43522713219426
"37",2023-10-13 01:00:00,-0.0473270816867143,0.156309702981808,-1.41047954491418,-1.05865334412627
"38",2023-10-13 02:00:00,1.15120069260655,NA,1.48778484697549,NA
"39",2023-10-13 03:00:00,0.862231592318364,1.07123179043843,0.958071923578771,1.40932189521153
"40",2023-10-13 04:00:00,0.913562955652946,1.04308363990864,1.09148088236355,1.12794856906087
"41",2023-10-13 05:00:00,0.812778783350517,NA,0.805855708276037,NA
"42",2023-10-13 06:00:00,2.14978041719956,NA,6.51275926804628,NA
"43",2023-10-13 07:00:00,0.900797879272441,1.08863067354392,-2.95154110266535,-2.23059152272448
"44",2023-10-13 08:00:00,1.25104634865536,1.44256404445177,1.72507042679243,1.60534262468496
"45",2023-10-13 09:00:00,0.105831792669696,0.342810669485991,-1.47713811570153,-1.11590265744974
"46",2023-10-13 10:00:00,0.563743698774896,NA,0.596601091745678,NA
"47",2023-10-13 11:00:00,0.965403209139409,1.0652184511876,1.36066309488876,1.43904327634734
"48",2023-10-13 12:00:00,2.08992803958381,1.96241331873221,7.86083727305508,6.43499508154151
"49",2023-10-13 13:00:00,1.19323386351718,1.15818849599357,1.17079649264781,1.18368934510067
"50",2023-10-13 14:00:00,6.33627296652766,6.70820216914493,8.58747236466012,8.84351011361355
"51",2023-10-13 15:00:00,6.08951273873553,6.10422945692051,7.52839498841101,7.75507390807262
"52",2023-10-13 16:00:00,5.42181128789288,5.50515542212517,6.82338660888468,7.07972610295278
"53",2023-10-13 17:00:00,5.01249891430773,5.00220964379258,6.27547347144489,7.39525954784765
"54",2023-10-13 18:00:00,4.84352026789853,4.92005924018752,6.16970330269065,7.46999818372023
"55",2023-10-13 19:00:00,4.4223172965273,NA,0.293617139927156,NA
"56",2023-10-13 20:00:00,4.38124672528089,4.4023918759924,0.331342212239907,1.93521144609526
"57",2023-10-13 21:00:00,4.48689374909675,4.57279356134799,0.08263368846819,1.81058295966885
"58",2023-10-13 22:00:00,4.69720854718665,NA,5.9981933019886,NA
"59",2023-10-13 23:00:00,4.51235160598523,4.58578429657988,0.268652014858639,1.42587177481114
